,name,latitude,longitude,capacity,rackType,organisation,isSheltered,qr
0,760311-2,1.43158,103.840819,8,RACKS,HDB,Y,YSH-02AD
1,510248-3,1.370783,103.962866,8,RACKS,HDB,Y,PSR-0163
2,BUS STOP 63319,1.369219,103.878272,16,YELLOWBOX,,N,HOG-001B
3,793408-1,1.38918,103.876623,3,RACKS,HDB,Y,SKG-05B8
4,560578-2,1.371881,103.854673,7,RACKS,HDB,Y,AMK-02C2
5,600135-1,1.333771,103.740295,6,RACKS,HDB,N,JRE-00FD
6,BUS STOP 78111,1.375389,103.958693,16,YELLOWBOX,,N,
7,460004-1,1.322379,103.932947,5,RACKS,HDB,Y,BDK-013E
8,BUS STOP 54351,1.376508,103.849325,10,YELLOWBOX,,N,AMK-03C6
9,BUS STOP 63299,1.35266,103.888391,16,YELLOWBOX,,N,HOG-002B
10,730436-1,1.426635,103.774411,6,RACKS,HDB,Y,WLS-0304
11,161055-2,1.290022,103.829164,3,RACKS,HDB,Y,BKM-025E
12,CHOA CHU KANG CRESCENT BLOCK 672B_YB,1.401832,103.747159,16,YELLOWBOX,,Y,CCK-005D
13,640483-1,1.347352,103.725618,5,RACKS,HDB,Y,JRW-0206
14,380038-2,1.317962,103.87415,6,RACKS,HDB,Y,KLG-01EA
15,550232-1,1.35474,103.868502,6,RACKS,HDB,Y,SRG-0105
16,570251-4,1.361702,103.844423,12,RACKS,HDB,Y,BIS-013B
17,530357-2,1.37304,103.899234,14,RACKS,HDB,Y,HOG-01A1
18,520262-1,1.353719,103.95055,8,RACKS,HDB,Y,TPN-0049
19,734781_1,1.448504,103.802499,8,RACKS,HDB,Y,WDL-001F
20,792405-1,1.389017,103.873615,2,RACKS,HDB,Y,SKG-0525
21,CHOA CHU KANG NORTH 6 BLOCK 555_YB,1.396311,103.743765,10,YELLOWBOX,,Y,CCK-001E
22,470719-1,1.336388,103.924701,5,RACKS,HDB,Y,BDK-0519
23,760459-1,1.421102,103.846587,10,RACKS,HDB,Y,YSH-005D
24,820297-1,1.402183,103.905356,6,RACKS,HDB,Y,PGL-00F3
25,WOODLANDS DRIVE 60 BLOCK 778_YB,1.447302,103.799757,23,YELLOWBOX,,Y,WLS-0415
26,682817-1,1.377154,103.748988,24,RACKS,HDB,Y,CCK-034A
27,670506-1,1.386877,103.767899,6,RACKS,HDB,Y,BPJ-020B
28,460028-16,1.323625,103.934537,15,RACKS,HDB,Y,BDK-018C
29,541204-2,1.388207,103.89462,4,RACKS,HDB,Y,SKG-0192
30,440052-2,1.3059,103.915949,7,RACKS,HDB,Y,MRP-0111
31,ANG MO KIO STREET 52 BLOCK 588D_YB,1.371644,103.853923,10,YELLOWBOX,,Y,AMK-0087
32,461547-1,1.329973,103.926101,10,RACKS,HDB,Y,BDK-0620
33,683801-1,1.375159,103.742881,5,RACKS,HDB,Y,CCK-031E
34,BUS STOP 75261,1.358069,103.937964,10,YELLOWBOX,,N,TPN-06F3
35,100072-1,1.276178,103.809528,6,RACKS,HDB,Y,BKM-013E
36,WOODLANDS STREET 41 BLOCK 411_YB,1.428487,103.772818,10,YELLOWBOX,,Y,WLS-00BB
37,BUS STOP 91059,1.300503,103.888399,10,YELLOWBOX,,N,MRP-0008
38,440073-1,1.303879,103.908389,5,RACKS,HDB,Y,MRP-0027
